x, y, cell_label
6379.268722466961,7240.319383259912,12959
6432.536878216123,7182.716981132076,13236
6489.579514824798,7393.533692722372,13520
6492.292682926829,7208.24765478424,13530
6533.307984790875,7244.1730038022815,13721
6539.938176197837,7376.114374034003,13749
6562.133196721312,7182.641393442623,13846
6599.40243902439,7194.09756097561,14050
6642.574712643678,7203.27750410509,14220
6658.837789661319,7134.386809269162,14278
6690.113333333334,7201.497777777778,14430
6710.194070080863,7085.0458221024255,14526
6731.198979591837,7257.765306122449,14610
6735.217987804878,7003.871951219512,14621
6755.37093275488,7039.284164859002,14732
6758.807424593968,6855.563805104408,14752
6756.563636363637,6956.860606060606,14760
6763.978193146418,7150.109034267913,14784
6762.225806451613,6900.306451612903,14805
6778.124548736462,7215.050541516245,14834
6788.201298701299,6670.4047619047615,14886
6808.539781591264,6916.113884555382,14980
6809.89046653144,7051.975659229209,14994
6813.039906103287,7155.335680751174,15012
6834.398865784499,6502.725897920605,15106
6832.263888888889,6784.347222222223,15128
6843.961608775137,7249.367458866544,15135
6850.522123893806,7184.382743362832,15185
6855.214511041009,7046.353312302839,15213
6868.968309859155,6778.454225352113,15276
6872.368231046931,6388.126353790613,15283
6895.018475750578,6833.263279445728,15380
6899.467771639042,6898.633517495396,15404
6904.384105960265,7222.644591611479,15435
6908.79347826087,6775.822463768116,15443
6908.9152,6636.6704,15452
6913.4799235181645,6417.550669216062,15473
6915.325278810409,6699.001858736059,15487
6917.213032581453,6259.258145363408,15498
6919.282426778243,7054.255230125523,15503
6920.669584245076,6486.606126914661,15508
6933.580524344569,6957.200374531835,15558
6942.880081300813,6215.878048780488,15602
6942.658671586716,6847.715867158671,15603
6943.989821882951,6130.2162849872775,15626
6954.247081712062,6278.27626459144,15665
6965.231143552312,6096.671532846715,15718
6969.978494623656,6047.761290322581,15737
6976.27458617332,6899.968841285297,15738
6973.829145728643,6139.899497487437,15779
6989.877094972067,6793.497206703911,15845
7003.024324324324,6257.235135135135,15913
7013.591463414634,6667.552845528456,15958
7014.561514195583,6529.883280757098,15973
7019.394841269841,6196.815476190476,15986
7042.740196078431,6366.169117647059,16095
7046.625786163522,6617.278301886792,16096
7052.053913043478,6702.813913043478,16139
7062.761904761905,6967.590476190476,16196
7065.324483775811,6527.7315634218285,16208
7095.152224824356,6593.288056206089,16330
7119.634441087614,6744.684290030212,16434
7194.744920993228,6727.954853273138,16773
7252.205944798301,6583.329087048833,16996
7296.08549222798,6613.867875647668,17159
7375.126732673268,5698.297029702971,17437
7424.015597920277,5693.74870017331,17608
7517.938735177866,5733.606719367589,17948
7956.623529411765,6897.894117647059,19541
