x, y, cell_label
4977.576998050682,8388.25730994152,7226
4992.205638474296,8359.14096185738,7273
4999.983088235294,8316.053676470588,7288
5025.736842105263,8400.478947368421,7368
5041.276908023483,8245.63698630137,7402
5028.7453416149065,8220.447204968945,7405
5055.2578125,8365.872869318182,7441
5056.060393258427,8204.126404494382,7461
5096.156158357771,8391.434017595308,7513
5093.214524207012,8116.350584307179,7542
5080.173177083333,8183.828125,7543
5103.773453093812,8219.114770459082,7602
5099.860824742268,8272.345360824742,7621
5109.775438596491,8149.277192982456,7634
5128.116293929713,8060.401277955271,7651
5140.107784431138,8176.591616766467,7691
5141.311983471074,8240.303719008265,7692
5136.225181598063,8349.805084745763,7693
5164.667432510052,8133.695002871913,7782
5169.789294817332,8358.067119796091,7795
5163.2750716332375,8394.0888252149,7816
5170.364130434783,8034.480072463768,7824
5172.985748218527,8292.5,7828
5187.3445026178015,8204.443979057593,7868
5211.590423059042,7984.822873082287,7889
5205.615835777126,8148.88954056696,7910
5206.931034482759,8393.983908045977,7935
5222.952214452214,8036.363636363636,7959
5225.555873925501,8111.41929321872,7968
5225.90586531499,8311.05792903693,7972
5236.80684596577,8191.9621026894865,7985
5233.3768804433885,8235.808392715757,7988
5246.184210526316,7934.35294117647,8049
5268.026789131267,8071.166092613854,8050
5260.965361445783,8131.350903614458,8095
5279.85182849937,8292.806431273644,8119
5274.529411764706,8187.459621136591,8137
5280.891341256367,8372.056027164686,8140
5287.4757630161575,8148.425493716338,8170
5296.273344651952,8344.95755517827,8177
5297.609099350047,8025.316620241411,8185
5309.357184750733,7942.334897360703,8203
5303.704441041347,8113.010719754977,8218
5322.175078864353,8237.06309148265,8243
5319.925946862634,8174.76596947428,8248
5337.031096563012,7954.907528641571,8288
5335.32196969697,7997.477272727273,8307
5339.365798414496,8334.596828992073,8310
5359.016504443504,7885.022852306391,8318
5361.316654753396,8117.823087919943,8337
5345.9496336996335,8388.92857142857,8346
5354.670495767836,8021.024183796856,8353
5364.010644959299,8281.308077645586,8386
5383.853358561968,8168.556764427625,8408
5375.249674054759,8051.609517601043,8415
5382.314524555904,8357.543364681296,8470
5383.370221327968,8391.458752515091,8492
5403.343373493976,7986.431726907631,8540
5436.890076335878,8199.681424936387,8598
5433.702290076336,7921.700109051254,8606
5434.280532043531,7856.58645707376,8616
5433.319379844961,8267.95968992248,8639
5436.126623376624,8154.272727272727,8667
5451.320652173913,7877.788043478261,8673
5453.34681372549,7951.875,8688
5452.292028413575,8347.444356748225,8692
5460.445754716981,8014.463679245283,8701
5467.254763200871,8221.561785519869,8718
5469.190635451505,8398.94983277592,8750
5473.08203125,8138.3203125,8754
5494.141940085592,8059.392296718973,8779
5467.908771929825,12139.698245614036,8783
5492.5529865125245,12765.604367373153,8784
5468.33962264151,12803.14716981132,8785
5487.505162241888,7903.243362831859,8788
5494.791493296348,12529.281553398056,8790
5467.264705882353,12688.29411764706,8791
5473.565031982943,12848.82302771855,8792
5487.25387755102,8370.49142857143,8799
5484.29665587918,12253.073354908309,8812
5480.349083895853,12061.065573770493,8813
5486.933491686461,7959.478622327791,8820
5477.906451612903,11189.093548387096,8821
5474.752688172043,11340.650537634408,8822
5475.64609053498,11458.74074074074,8823
5477.981481481482,11578.361111111111,8824
