label,prob,Kit_NN_prediction,Kit_NN_prediction_value
1,99.95732879638672,negative,0.0
2,98.8041534423828,negative,0.0
3,99.90862274169922,negative,0.0
4,99.9852523803711,negative,0.0
5,99.12238311767578,negative,0.0
6,99.79503631591795,negative,0.0
7,99.04695129394533,negative,0.0
8,99.98389434814452,negative,0.0
9,99.97256469726562,negative,0.0
10,99.90028381347656,negative,0.0
11,99.97205352783205,negative,0.0
12,99.9995346069336,negative,0.0
13,99.9840850830078,negative,0.0
14,99.97693634033205,negative,0.0
15,95.55533599853516,negative,0.0
16,99.997802734375,negative,0.0
17,99.98798370361328,negative,0.0
18,99.99903106689452,negative,0.0
19,99.99609375,negative,0.0
20,99.99949645996094,negative,0.0
21,99.99998474121094,negative,0.0
22,99.99998474121094,negative,0.0
23,99.99655151367188,negative,0.0
24,99.98309326171876,negative,0.0
25,99.9999771118164,negative,0.0
26,99.92611694335938,negative,0.0
27,99.99998474121094,negative,0.0
28,99.96246337890624,negative,0.0
29,99.99991607666016,negative,0.0
30,99.9958038330078,negative,0.0
31,99.97003173828124,negative,0.0
32,99.9989242553711,negative,0.0
33,99.99974060058594,negative,0.0
34,99.99504089355467,negative,0.0
35,94.93119049072266,negative,0.0
36,99.99987030029295,negative,0.0
37,99.99990844726562,negative,0.0
38,99.99861907958984,negative,0.0
39,99.9997100830078,negative,0.0
40,99.67157745361328,negative,0.0
41,99.99949645996094,negative,0.0
42,99.99979400634766,negative,0.0
43,99.99913024902344,negative,0.0
44,99.85088348388672,negative,0.0
45,72.42388153076172,positive,1.0
46,99.9998550415039,negative,0.0
47,99.97254180908205,negative,0.0
48,99.99192810058594,negative,0.0
49,99.99925994873048,negative,0.0
50,99.3595962524414,positive,1.0
51,99.99996185302734,negative,0.0
52,99.95148468017578,negative,0.0
53,99.99298858642578,negative,0.0
54,99.99989318847656,negative,0.0
55,99.91299438476562,negative,0.0
56,99.81334686279295,negative,0.0
57,99.98995971679688,negative,0.0
58,99.9999542236328,negative,0.0
59,99.99984741210938,negative,0.0
60,99.99974822998048,negative,0.0
61,99.9893035888672,negative,0.0
62,99.99980926513672,negative,0.0
63,99.85868072509766,negative,0.0
64,99.99356079101562,negative,0.0
65,99.8730239868164,negative,0.0
66,99.96048736572266,negative,0.0
67,99.9429168701172,negative,0.0
68,99.99363708496094,negative,0.0
69,99.99982452392578,negative,0.0
70,99.9966278076172,negative,0.0
71,99.9850845336914,negative,0.0
72,99.97190856933594,negative,0.0
73,99.9276123046875,negative,0.0
74,58.95698547363281,negative,0.0
75,99.9933853149414,negative,0.0
76,99.99996185302734,negative,0.0
77,97.09920501708984,negative,0.0
78,99.80974578857422,negative,0.0
79,96.2941436767578,negative,0.0
80,98.06853485107422,positive,1.0
81,92.97332000732422,negative,0.0
82,99.74967956542967,negative,0.0
83,98.6907730102539,positive,1.0
84,61.77474212646485,negative,0.0
85,60.48493194580078,positive,1.0
86,99.99109649658205,negative,0.0
87,99.91216278076172,negative,0.0
88,99.67178344726562,negative,0.0
89,99.9664077758789,negative,0.0
90,99.99982452392578,negative,0.0
91,99.88677215576172,negative,0.0
92,99.99900817871094,negative,0.0
93,99.99465942382812,negative,0.0
94,99.99755859375,negative,0.0
95,99.99363708496094,negative,0.0
96,55.175025939941406,negative,0.0
97,70.7514419555664,negative,0.0
98,97.26918029785156,positive,1.0
99,65.6551513671875,negative,0.0
100,99.99893951416016,negative,0.0
101,58.12664031982422,positive,1.0
