x, y, cell_label
5931.438202247191,13334.859550561798,10775
5962.529233870968,13360.341733870968,10857
5971.985153764581,13276.03923647932,10896
5959.838383838384,13154.444444444443,10903
5975.47557840617,13239.899742930593,10954
5971.784946236559,13214.44623655914,10963
5993.895968790637,13341.055916775033,11003
6005.868867924528,13154.065094339623,11045
6005.144736842105,13013.953947368422,11078
6010.1659388646285,12892.311790393012,11102
6030.133695652174,12954.484782608695,11161
6040.649606299213,12911.917322834646,11176
6054.912556053811,12820.504484304933,11301
6058.092715231788,12748.84105960265,11342
6075.468634686347,12676.215867158671,11395
6078.293125810636,12575.167315175097,11423
6091.202,12617.82,11478
6122.485815602837,12491.560283687944,11641
6134.318725099602,12462.86321381142,11673
6152.664335664335,12350.86247086247,11803
6179.022175290391,12341.342133051745,11868
6180.442105263158,12272.732894736842,11918
6233.587341772152,12196.648101265822,12172
6238.812627291242,12159.179226069247,12213
6243.941086457537,12070.188217291508,12215
6273.152744630072,12047.287589498806,12374
6307.634408602151,11826.003961516695,12524
6304.933333333333,11732.055555555557,12554
6323.485023646874,11678.653179190753,12565
6334.260473588342,11639.726775956284,12654
6338.472346786248,11786.730941704036,12725
6353.412667946257,11551.736084452976,12818
6369.3933615819205,11459.17372881356,12862
6407.14961101137,11389.512866546978,13039
6413.058333333333,11346.931666666667,13120
