x, y, cell_label
6683.156767955801,8641.127071823204,14340
6693.936090225564,8682.31829573935,14431
6706.281368821293,8605.88783269962,14480
6734.629464285715,8655.33482142857,14658
6753.982670744139,8701.400611620795,14683
6773.943370165746,5917.671270718232,14770
6777.115357395613,8665.062278839348,14771
6784.766363636364,5817.211818181818,14839
6797.332947976879,5728.116763005781,14910
6807.229903536978,5851.29421221865,14961
6804.627766599598,8694.30985915493,14962
6818.328978622328,5649.59026128266,15008
6825.422,5613.396,15061
6839.468986384266,5564.021936459909,15083
6830.64039408867,8704.416256157636,15097
6840.409187279152,5748.550530035336,15115
6896.457455770851,8735.598146588038,15340
6916.160096540628,8809.750603378921,15463
6942.590759075908,8843.194719471947,15612
6943.75,8789.64224137931,15636
6956.032967032968,8852.637362637362,15689
6982.6760563380285,8904.989436619719,15814
6999.533617929563,8970.983991462113,15862
6996.8530805687205,8934.22037914692,15870
7013.758754863813,5481.819714656291,15894
7024.5224820143885,8878.133093525179,15953
7018.129963898917,8998.274368231047,15954
7047.2122587968215,8970.539160045402,16091
7054.184466019417,9011.896116504857,16115
7066.617760617761,9094.239382239382,16211
7076.351809954751,9052.190045248868,16221
7084.035982008995,5434.155922038981,16255
7085.645161290323,9021.279569892473,16314
7094.678861788618,5396.975609756098,16342
7100.196078431372,9096.857142857143,16363
7120.980141843972,9191.523404255318,16438
7131.080645161291,9136.141439205956,16493
7149.761232349166,5429.721437740694,16544
7142.536184210527,5363.434210526316,16550
7144.575757575758,8995.59090909091,16551
7139.120879120879,9215.010989010989,16562
7154.185863874345,9162.397905759162,16600
7156.816326530612,5334.906705539359,16622
7160.495192307692,9198.589743589744,16626
7159.631914893617,9242.04680851064,16627
7183.121212121212,5390.888888888889,16697
7182.355337078651,9262.442415730337,16698
7176.970967741935,5349.993548387097,16702
7190.783042394015,9210.546134663342,16754
7204.852583586626,9328.83434650456,16798
7207.378731343284,9291.485074626866,16813
7226.058432934927,9357.019920318726,16882
7226.270735524256,5340.046948356808,16894
7244.157978723404,9197.333510638298,16930
7240.732394366197,9387.014084507042,16946
7245.358306188925,9421.800217155263,16947
7247.903726708075,5353.291925465838,16995
7259.431372549019,5419.131652661064,17024
7279.039461020212,9444.376323387873,17065
7268.194174757282,9355,17076
7285.672051696284,5343.140549273021,17113
7289.336177474403,5377.051194539249,17114
7295.429958391123,9478.56588072122,17136
7331.815047021943,5327.396551724138,17291
7327.146666666666,9462.4,17295
7352.688781664656,9549.64656212304,17336
7360.94,5342.836363636364,17379
7383.919028340081,9504.998650472337,17444
7391.02442159383,9586.289203084832,17482
7391.228791773778,5341.501285347043,17497
7401.522620904836,9545.547581903276,17516
7416.093857832988,9472.861283643892,17546
7431.6623505976095,9560.777888446217,17617
7428.150837988826,5338.150837988826,17643
7440.326633165829,9584.462311557789,17682
7459.494345718901,5351.738287560582,17730
7467.796511627907,9594.553779069767,17758
7494.619808306709,5345.166134185303,17872
7499.449035812672,9603.826446280991,17887
7518.703664921466,5355.251308900523,17942
7525.903703703703,9532.233744855968,17959
7557.914330218068,5340.942367601246,18064
7555.754285714285,5369.362857142857,18065
7561.314500941619,9612.485875706214,18071
7591.195121951219,5384.848780487805,18205
7599.019329896907,5346.461340206186,18211
7603.118055555556,5367.701388888889,18262
7651.809849521203,9645.160054719565,18371
7658.74200913242,5326.041095890411,18452
7718.149038461538,5370.451923076923,18642
7750.690821256038,5386.166666666667,18759
7765.581708137189,9642.617350369872,18771
7779.68267223382,5393.405010438413,18844
7806.263819095478,9620.543969849246,18922
7805.020072992701,9561.684306569345,18927
7810.792207792208,5417.722943722944,18959
7813.595180722891,8146.47469879518,18960
7815.415343915344,7710.306878306878,18975
7831.8682766191,9579.628979143798,18993
7831.342168674699,7741.421686746988,19022
7839.336798336798,5408.04158004158,19042
7843.008154943935,8078.93374108053,19046
7845.781045751634,7820.766339869281,19066
7846.761904761905,9546.975056689342,19071
7848.602222222222,7703.077777777778,19087
7845.086206896552,9517.327586206897,19095
7848.653846153846,8120.891025641025,19100
7855.735099337749,7792.619205298013,19109
7856.492753623188,7757.221532091097,19114
7865.730973451327,5452.260176991151,19132
7870.657276995305,5564.4260563380285,19139
7871.113425925926,7873.320601851852,19146
7871.801713586291,5524.45899632803,19149
7876.241081081081,7724.441081081081,19157
7874.930555555556,7680.773611111111,19167
7874.079429735234,8072.73116089613,19168
7873.3488372093025,8102.073643410853,19169
7871.414285714286,8138.32,19170
7881.063451776649,7909.455583756345,19177
7870.12,8283.916923076924,19178
7875.585551330799,7998.264258555133,19182
7882.80473372781,9516.991715976332,19189
7883.938223938224,8047.287644787645,19198
7882.559099437148,7817.598499061914,19206
7887.718619246862,9553.246861924688,19207
7885.071618037135,7778.949602122016,19224
7898.273170731707,7961.032520325203,19244
7906.566022544283,8245.101449275362,19245
7890.528776978417,8176.413669064748,19249
7900.056300268096,5548.924932975871,19258
7900.678181818182,8281.247272727273,19269
7902.347589424572,8482.154743390358,19270
7904.543087971275,8404.236086175943,19271
7904.208643815201,5505.123695976155,19275
7907.09907120743,7448.800309597524,19276
7904.340122199593,8030.765784114053,19289
7912.043586550436,8193.77210460772,19306
7914.210144927536,7644.149275362319,19328
7912.799054373522,9490.768321513002,19329
7918.972602739726,5641.495890410959,19355
7922.465328467153,7602.293795620438,19361
7922.714285714285,7580.919047619048,19391
7931.103967168263,9537.67852257182,19403
7927,7488.038461538462,19416
7930.525157232704,8440.90251572327,19420
7932.14798206278,8341.816143497757,19429
7939.043650793651,5581.49007936508,19439
7942.063781321184,8482.657175398634,19440
7946.460277427491,8278.41740226986,19465
7949.351973684211,8313.707236842105,19466
7953.700184501845,5694.734317343174,19474
7958.875659382064,8568.733232856066,19477
7951.0078125,8417.080729166666,19480
7949.641711229947,9504.564171122996,19481
7952.441253263708,7552.902088772846,19487
7950.281984334204,9476.107049608356,19488
7952.76329787234,5628.331117021276,19491
7948.868493150685,8369.501369863014,19492
7947.270440251572,7421.66037735849,19503
7970.591320072333,8525.289933694998,19525
7980.963149078727,5646.458961474037,19607
7975.95703125,8406.19140625,19614
7977.815151515151,8429.951515151515,19615
7984.18875502008,7499.897590361445,19632
7990.319895968791,5685.096228868661,19641
7990.173041894353,7450.420765027322,19652
7991.668560606061,8468.276515151516,19660
7998.986135181975,7426.135181975736,19675
7989.783505154639,7329.701030927835,19683
7995.961373390558,7404.991416309012,19691
8001.292808219178,7375.684931506849,19696
8013.322195704057,8591.284805091487,19720
8009.775956284153,8511.81238615665,19741
8013.764204545455,7282.549715909091,19763
