x, y, cell_label
5313.24043715847,6881.377049180328,8272
5399.530243519246,6837.481539670071,8490
5403.700307692307,6786.993846153846,8506
5408.620107962213,7061.643049932523,8535
5439.5885509839,7018.885509838999,8660
5441.330508474576,7134.203389830508,8661
5461.212037037037,6792.267592592592,8695
5478.351257588898,7157.273200346921,8761
5496.980968858132,7123.008650519031,8834
5495.052005943537,7200.973254086181,8860
5495.57457212714,6763.457212713936,8866
5504.017135862913,6815.521419828641,8887
5499.123456790124,6849.188271604939,8888
5516.122023809524,7156.910714285715,8994
5544.037606837607,7238.160683760684,9081
5549.265508684864,7148.895781637717,9096
5554.830188679245,6809.2754716981135,9160
5565.032338308458,6788.853233830846,9193
5586.944741532977,6797.076648841355,9280
5600.82183908046,7157.005747126437,9360
5626.327249022164,7319.680573663624,9436
5623.803069053708,6833.0549872122765,9459
5642.0842975206615,6876.515702479339,9527
5658.992831541219,7366.453405017921,9606
5695.9522760646105,7389.870044052864,9694
5707.343220338983,7351.9766949152545,9824
5747.025125628141,7385.356783919598,9941
5758.803755868545,7439.52676056338,9965
5799.493860845839,7403.282401091405,10147
5828.657997399219,6980.499349804942,10287
5837.384816753926,7043.65052356021,10314
5863.349534643226,7075.922440537745,10368
5875.873589164786,7015.981941309256,10491
5938.944444444444,7049.634548611111,10747
6004.983606557377,7071.122950819672,11042
6024.617834394904,7140.617834394904,11140
6035.5261932479625,7090.703143189756,11182
6078.18904109589,7133.311872146119,11320
6151.412262156448,7108.275898520084,11727
6141.398692810458,7211.346405228758,11728
6165.482843137255,7173.116421568628,11830
6177.005235602094,7134.240837696335,11904
6179.484375,7154.140625,11942
6214.8178066037735,7177.302476415094,12038
6220.548199767712,7117.754936120789,12107
6255.242362525459,7145.786150712831,12295
6290.270949720671,7146.745810055866,12464
6330.556464811784,7158.279869067103,12695
6334.550173010381,7108.692041522491,12730
6366.5352112676055,7093.895774647887,12878
6368.366920152092,7120.78897338403,12879
6377.851311953353,7061.422740524781,12936
6410.402173913043,6983.162055335968,13092
6412.179450072359,7061.793053545586,13132
6449.791925465838,7038.708074534162,13305
6458.0199252802,6957.211706102117,13329
6459.568674698795,7059.925301204819,13364
6481.760283687943,7017.368794326241,13469
6481.426900584796,6914.210526315789,13503
6494.237569060773,6836.889502762431,13546
6500.095768374164,6660.417594654788,13549
6513.942720763723,6731.343675417661,13644
6523.382513661202,6524.138433515483,13672
6520.158844765343,6839.610108303249,13686
6527.516203703704,6912.032407407408,13719
6537.781431334623,6604.378143133462,13736
6537.3485804416405,6685.064668769716,13752
6540.645659163987,6842.48038585209,13760
6555.622826086957,6642.610869565217,13817
6555.4144620811285,6498.887125220459,13822
6565.258911819888,6716.472795497186,13883
6574.08380952381,6671.662857142857,13923
6580.712182061579,6578.903614457831,13938
6596.824683544304,6359.860759493671,13964
6593.723241590215,6778.380733944954,14005
6601.924770642202,6481.291743119266,14048
6607.667151162791,6430.607558139535,14062
6608.613309352518,6384.152877697842,14076
6622.847845601436,6543.206014362657,14105
6640.040780141844,6152.372340425532,14187
6630.903846153846,6278.057692307692,14195
6635.504364694471,6329.658583899127,14196
6645.279805352798,6197.664233576642,14245
6666.524920466596,6334.369034994697,14319
6665.728571428572,6167.057142857143,14352
6679.540106951872,6117.360071301247,14387
6696.333692142089,6179.391819160388,14474
